Id,Country,Sampling date,Penicillin resistance,Macrolide resistance,Type
Pnc_1,South Africa,2004-08-29,Sensitive,Sensitive,A
Pnc_2,USA,2020-06-26,Sensitive,Sensitive,B
Pnc_3,USA,2011-11-08,Sensitive,Sensitive,B
Pnc_4,USA,2016-05-01,Sensitive,Resistant,B
Pnc_5,South Africa,2020-05-16,Resistant,Sensitive,B
Pnc_6,South Africa,2014-03-14,Sensitive,Sensitive,B
Pnc_7,USA,2000-03-31,Sensitive,Resistant,B
Pnc_8,South Africa,2007-01-31,Sensitive,Sensitive,A
Pnc_9,South Africa,2020-07-30,Sensitive,Sensitive,A
Pnc_10,South Africa,2001-04-03,Resistant,Sensitive,A
Pnc_11,USA,2004-07-01,Resistant,Sensitive,A
Pnc_12,USA,2018-05-04,Sensitive,Sensitive,B
Pnc_13,USA,2004-02-06,Sensitive,Resistant,B
Pnc_14,South Africa,2019-04-14,Resistant,Sensitive,B
Pnc_15,USA,2009-07-28,Sensitive,Sensitive,B
Pnc_16,USA,2009-11-21,Sensitive,Resistant,A
Pnc_17,South Africa,2019-10-14,Resistant,Sensitive,B
Pnc_18,USA,2010-12-26,Sensitive,Resistant,B
Pnc_19,USA,2016-02-06,Sensitive,Resistant,B
Pnc_20,USA,2006-04-28,Sensitive,Sensitive,B
Pnc_21,South Africa,2004-04-04,Sensitive,Sensitive,A
Pnc_22,South Africa,2016-03-11,Resistant,Sensitive,A
Pnc_23,USA,2014-07-25,Resistant,Sensitive,B
Pnc_24,USA,2006-06-30,Sensitive,Resistant,B
Pnc_25,South Africa,2020-06-18,Sensitive,Sensitive,A
Pnc_26,USA,2004-03-22,Sensitive,Resistant,A
Pnc_27,USA,2019-05-19,Sensitive,Resistant,B
Pnc_28,South Africa,2002-04-22,Resistant,Sensitive,A
Pnc_29,USA,2004-08-09,Sensitive,Resistant,A
Pnc_30,South Africa,2013-01-27,Sensitive,Sensitive,A
Pnc_31,USA,2000-07-27,Sensitive,Sensitive,B
Pnc_32,USA,2014-07-28,Sensitive,Resistant,B
Pnc_33,USA,2007-07-01,Sensitive,Sensitive,A
Pnc_34,South Africa,2004-10-16,Resistant,Sensitive,A
Pnc_35,USA,2010-12-23,Sensitive,Resistant,B
Pnc_36,South Africa,2000-09-23,Sensitive,Sensitive,A
Pnc_37,USA,2000-03-10,Sensitive,Sensitive,A
Pnc_38,South Africa,2020-11-11,Resistant,Sensitive,B
Pnc_39,USA,2018-05-20,Sensitive,Resistant,B
Pnc_40,USA,2009-06-27,Sensitive,Resistant,A
Pnc_41,South Africa,2015-07-12,Resistant,Sensitive,A
Pnc_42,USA,2018-11-17,Sensitive,Resistant,B
Pnc_43,USA,2013-04-10,Sensitive,Sensitive,B
Pnc_44,South Africa,2005-05-24,Sensitive,Sensitive,B
Pnc_45,USA,2013-09-17,Sensitive,Sensitive,B
Pnc_46,USA,2016-11-22,Sensitive,Resistant,B
Pnc_47,South Africa,2001-11-27,Sensitive,Sensitive,A
Pnc_48,USA,2001-10-18,Sensitive,Sensitive,A
Pnc_49,USA,2013-10-04,Sensitive,Resistant,B
Pnc_50,USA,2002-09-19,Resistant,Resistant,B
Pnc_51,USA,2004-07-30,Sensitive,Resistant,A
Pnc_52,South Africa,2017-12-28,Sensitive,Sensitive,B
Pnc_53,South Africa,2012-07-30,Sensitive,Sensitive,A
Pnc_54,South Africa,2008-10-11,Sensitive,Sensitive,A
Pnc_55,USA,2016-01-05,Resistant,Resistant,B
Pnc_56,South Africa,2015-02-12,Resistant,Sensitive,A
Pnc_57,USA,2003-09-07,Sensitive,Sensitive,A
Pnc_58,South Africa,2000-04-12,Sensitive,Sensitive,A
Pnc_59,South Africa,2012-03-12,Sensitive,Sensitive,A
Pnc_60,USA,2001-07-13,Sensitive,Resistant,A
Pnc_61,South Africa,2010-01-28,Resistant,Resistant,A
Pnc_62,South Africa,2017-05-28,Sensitive,Sensitive,B
Pnc_63,South Africa,2016-11-08,Resistant,Resistant,A
Pnc_64,USA,2006-07-15,Sensitive,Sensitive,A
Pnc_65,USA,2010-07-09,Sensitive,Resistant,B
Pnc_66,USA,2013-05-22,Resistant,Sensitive,B
Pnc_67,South Africa,2005-08-15,Resistant,Sensitive,B
Pnc_68,USA,2002-06-23,Resistant,Sensitive,B
Pnc_69,USA,2013-04-19,Sensitive,Resistant,B
Pnc_70,South Africa,2015-08-29,Sensitive,Sensitive,A
Pnc_71,USA,2008-10-30,Resistant,Resistant,A
Pnc_72,South Africa,2018-02-19,Resistant,Sensitive,B
Pnc_73,South Africa,2017-11-20,Resistant,Sensitive,A
Pnc_74,USA,2001-07-07,Sensitive,Sensitive,A
Pnc_75,South Africa,2009-12-20,Sensitive,Sensitive,B
Pnc_76,South Africa,2018-01-13,Resistant,Sensitive,B
Pnc_77,South Africa,2012-02-08,Resistant,Sensitive,B
Pnc_78,South Africa,2019-02-22,Sensitive,Sensitive,B
Pnc_79,USA,2018-10-06,Sensitive,Resistant,B
Pnc_80,South Africa,2014-08-05,Resistant,Sensitive,B
Pnc_81,South Africa,2018-01-10,Sensitive,Sensitive,B
Pnc_82,USA,2014-12-12,Sensitive,Resistant,B
Pnc_83,South Africa,2008-08-01,Resistant,Sensitive,A
Pnc_84,South Africa,2020-11-21,Resistant,Sensitive,B
Pnc_85,South Africa,2013-01-03,Sensitive,Sensitive,B
Pnc_86,USA,2011-06-30,Sensitive,Sensitive,B
Pnc_87,South Africa,2006-07-26,Resistant,Sensitive,A
Pnc_88,USA,2012-12-06,Sensitive,Resistant,B
Pnc_89,USA,2000-11-04,Sensitive,Sensitive,A
Pnc_90,USA,2016-12-28,Sensitive,Sensitive,B
Pnc_91,South Africa,2018-08-26,Sensitive,Sensitive,A
Pnc_92,South Africa,2009-11-02,Sensitive,Sensitive,B
Pnc_93,South Africa,2005-07-12,Resistant,Sensitive,B
Pnc_94,South Africa,2020-08-16,Resistant,Sensitive,A
Pnc_95,USA,2019-05-24,Sensitive,Sensitive,A
Pnc_96,USA,2018-08-24,Sensitive,Sensitive,B
Pnc_97,South Africa,2013-04-04,Resistant,Sensitive,B
Pnc_98,USA,2004-01-11,Sensitive,Sensitive,B
Pnc_99,USA,2014-09-01,Sensitive,Resistant,B
Pnc_100,USA,2010-01-16,Sensitive,Sensitive,B
Pnc_101,USA,2012-10-07,Sensitive,Sensitive,B
Pnc_102,South Africa,2017-10-30,Sensitive,Sensitive,B
Pnc_103,South Africa,2009-06-10,Resistant,Resistant,A
Pnc_104,South Africa,2011-07-02,Resistant,Sensitive,B
Pnc_105,USA,2018-08-08,Sensitive,Resistant,B
Pnc_106,USA,2011-02-09,Sensitive,Resistant,B
Pnc_107,South Africa,2006-07-09,Sensitive,Sensitive,B
Pnc_108,South Africa,2008-08-30,Resistant,Sensitive,A
Pnc_109,South Africa,2013-05-27,Resistant,Sensitive,B
Pnc_110,South Africa,2002-07-03,Resistant,Resistant,A
Pnc_111,USA,2020-02-14,Sensitive,Resistant,A
Pnc_112,USA,2012-09-27,Resistant,Sensitive,B
Pnc_113,South Africa,2015-07-26,Resistant,Sensitive,B
Pnc_114,USA,2007-08-05,Sensitive,Resistant,A
Pnc_115,South Africa,2001-07-20,Sensitive,Sensitive,B
Pnc_116,USA,2017-03-10,Sensitive,Sensitive,B
Pnc_117,USA,2017-05-24,Sensitive,Resistant,B
Pnc_118,USA,2004-02-18,Sensitive,Resistant,B
Pnc_119,South Africa,2008-01-14,Sensitive,Sensitive,B
Pnc_120,USA,2012-12-01,Sensitive,Resistant,B
Pnc_121,South Africa,2004-01-24,Sensitive,Sensitive,A
Pnc_122,USA,2013-02-04,Sensitive,Sensitive,B
Pnc_123,South Africa,2019-07-10,Sensitive,Sensitive,B
Pnc_124,South Africa,2017-06-16,Resistant,Sensitive,A
Pnc_125,USA,2008-06-02,Resistant,Resistant,B
Pnc_126,South Africa,2005-12-22,Resistant,Sensitive,A
Pnc_127,USA,2011-08-20,Sensitive,Sensitive,B
Pnc_128,South Africa,2004-09-11,Resistant,Sensitive,A
Pnc_129,USA,2012-01-29,Sensitive,Sensitive,B
Pnc_130,USA,2017-05-06,Resistant,Resistant,B
Pnc_131,USA,2001-02-21,Sensitive,Resistant,A
Pnc_132,South Africa,2003-02-28,Sensitive,Sensitive,A
Pnc_133,USA,2001-11-18,Sensitive,Sensitive,B
Pnc_134,USA,2004-04-18,Sensitive,Sensitive,A
Pnc_135,USA,2003-12-22,Sensitive,Sensitive,A
Pnc_136,USA,2010-09-05,Sensitive,Sensitive,B
Pnc_137,South Africa,2005-11-03,Resistant,Sensitive,A
Pnc_138,USA,2010-10-17,Sensitive,Resistant,B
Pnc_139,USA,2000-05-08,Sensitive,Sensitive,B
Pnc_140,USA,2017-07-03,Sensitive,Sensitive,B
Pnc_141,USA,2011-12-28,Sensitive,Resistant,A
Pnc_142,USA,2018-04-26,Sensitive,Resistant,B
Pnc_143,USA,2008-11-24,Sensitive,Resistant,B
Pnc_144,USA,2009-05-04,Sensitive,Sensitive,B
Pnc_145,South Africa,2000-07-06,Resistant,Sensitive,A
Pnc_146,USA,2007-12-17,Sensitive,Resistant,B
Pnc_147,South Africa,2017-06-09,Sensitive,Sensitive,B
Pnc_148,South Africa,2020-12-31,Resistant,Sensitive,B
Pnc_149,USA,2001-05-16,Sensitive,Sensitive,B
Pnc_150,South Africa,2004-06-20,Sensitive,Sensitive,B
Pnc_151,South Africa,2012-12-12,Sensitive,Sensitive,B
Pnc_152,USA,2013-10-26,Sensitive,Resistant,B
Pnc_153,South Africa,2009-04-08,Sensitive,Resistant,B
Pnc_154,South Africa,2018-04-20,Resistant,Resistant,B
Pnc_155,USA,2001-07-05,Sensitive,Sensitive,B
Pnc_156,South Africa,2011-06-02,Resistant,Sensitive,A
Pnc_157,South Africa,2005-05-21,Sensitive,Sensitive,A
Pnc_158,South Africa,2012-10-17,Sensitive,Sensitive,A
Pnc_159,USA,2006-05-02,Sensitive,Resistant,A
Pnc_160,South Africa,2016-06-19,Resistant,Sensitive,B
Pnc_161,USA,2013-04-23,Sensitive,Resistant,B
Pnc_162,South Africa,2020-08-10,Resistant,Sensitive,B
Pnc_163,USA,2012-11-08,Sensitive,Resistant,B
Pnc_164,South Africa,2011-10-19,Sensitive,Sensitive,A
Pnc_165,USA,2018-10-29,Sensitive,Sensitive,B
Pnc_166,USA,2016-04-02,Sensitive,Sensitive,B
Pnc_167,South Africa,2015-05-19,Sensitive,Resistant,B
Pnc_168,South Africa,2002-05-23,Sensitive,Sensitive,A
Pnc_169,USA,2000-02-02,Sensitive,Resistant,A
Pnc_170,South Africa,2010-02-05,Resistant,Sensitive,B
Pnc_171,USA,2018-05-25,Sensitive,Sensitive,B
Pnc_172,South Africa,2016-03-24,Sensitive,Sensitive,A
Pnc_173,USA,2008-10-26,Sensitive,Sensitive,B
